Decimal		Binario		Hexadecimal
---------------------------------------
10		1010		                                        a
20		10100		                                        14
15		1111		                                        f
25		11001		                                        19
30		11110		                                        1e
12		1100		                                        c
18		10010		                                        12
22		10110		                                        16
28		11100		                                        1c
34		100010		                                        22
12		1100		                                        c
45		101101		                                        2d
13		1101		                                        d
23		10111		                                        17
56		111000		                                        38
89		1011001		                                        59
75		1001011		                                        4b
15		1111		                                        f
23		10111		                                        17
56		111000		                                        38
12		1100		                                        c
45		101101		                                        2d
5		101		                                        5
2		10		                                        2
4		100		                                        4
5		101		                                        5
6		110		                                        6
7		111		                                        7
8		1000		                                        8
9		1001		                                        9
5		101		                                        5
2		10		                                        2

Tiempo transcurrido:                                0.0000 segundos
